province,region,orders,customers,quantity,cbm_total,avg_distance_km,avg_order_quantity,avg_order_cbm,avg_sku_breadth
Hồ Chí Minh,Đông Nam Bộ,1267,100,42256.09166666667,2234.569009130589,34.015317870146255,33.35129571165483,1.763669304759739,5.148382004735596
Bình Dương,Đông Nam Bộ,194,10,19814.166666666668,1271.7093255601667,22.15101579173038,102.13487972508592,6.555202709073024,3.4381443298969074
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,204,11,15522.979166666666,911.0037923322834,582.4899697161038,76.09303513071895,4.465704864373938,4.794117647058823
Cần Thơ,Đồng bằng sông Cửu Long,177,8,10561.083333333334,640.4765918687334,146.4178586027384,59.667137476459516,3.6185118184674203,4.593220338983051
Hà Nội,Đồng bằng sông Hồng,164,16,10455.466666666667,606.1323769640167,1117.4659943479967,63.75284552845529,3.6959291278293698,3.042682926829268
Tiền Giang,Đồng bằng sông Cửu Long,111,6,8410.583333333334,523.9287055833333,74.51326127922259,75.77102102102103,4.720078428678678,2.7837837837837838
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,141,9,7083.75,427.51156862633337,305.64509995707243,50.23936170212766,3.0319969406122933,3.6879432624113475
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,81,5,6993.175,394.9125891933167,189.02080362144386,86.33549382716049,4.875464064115021,4.444444444444445
Đồng Nai,Đông Nam Bộ,387,13,5579.333333333333,268.1942945039869,49.50044040627077,14.416881998277347,0.6930085129301987,2.75968992248062
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,69,5,4592.175,234.57747338640002,556.936624814378,66.55326086956522,3.3996735273391305,2.4347826086956523
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,65,5,4297.916666666667,211.20763248416668,864.5809592079228,66.12179487179488,3.2493481920641027,2.4153846153846152
Hải Phòng,Đồng bằng sông Hồng,75,5,3240.4583333333335,221.55305854166667,1094.7570002217371,43.20611111111111,2.9540407805555557,2.3333333333333335
Huế,Bắc Trung Bộ và Duyên hải miền Trung,48,5,2892.733333333333,158.02944324323335,607.5458256244784,60.265277777777776,3.2922800675673614,4.270833333333333
Hòa Bình,Trung du và miền núi phía Bắc,108,7,2796.75,128.51183652166668,1081.9135039691262,25.895833333333332,1.1899244122376544,6.481481481481482
Đắk Lắk,Tây Nguyên,113,9,2752.75,161.18169044725,260.02042795539904,24.36061946902655,1.4263866411261061,3.4424778761061945
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,68,8,1818.0,116.042544115,983.0825548694195,26.735294117647058,1.7065080016911764,2.25
Phú Thọ,Trung du và miền núi phía Bắc,41,3,1398.0833333333333,95.12860781666667,1143.9076252544014,34.099593495934954,2.3202099467479678,2.4634146341463414
Bắc Giang,Trung du và miền núi phía Bắc,36,4,1378.4166666666667,78.428185205,1145.6503699062444,38.289351851851855,2.178560700138889,2.5833333333333335
An Giang,Đồng bằng sông Cửu Long,66,10,797.5,39.74133050033333,162.39298369749497,12.083333333333334,0.6021413712171717,3.3333333333333335
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,17,3,604.0,34.21470928291667,614.7717674371107,35.529411764705884,2.012629957818628,3.3529411764705883
Vĩnh Long,Đồng bằng sông Cửu Long,31,5,578.0833333333334,29.915397892933335,127.0322396385226,18.647849462365592,0.9650128352559141,4.451612903225806
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,16,3,539.8333333333334,26.92731787083334,713.9928088880608,33.739583333333336,1.6829573669270836,2.4375
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,23,3,461.0,22.304539559000002,408.7501081337878,20.043478260869566,0.9697625895217392,6.913043478260869
Kiên Giang,Đồng bằng sông Cửu Long,15,3,453.0,21.220868709433336,228.89120644247006,30.2,1.414724580628889,6.0
Cao Bằng,Trung du và miền núi phía Bắc,7,1,374.0,14.263256666666669,1306.69361829078,53.42857142857143,2.0376080952380957,2.142857142857143
Bến Tre,Đồng bằng sông Cửu Long,21,5,326.3333333333333,15.574602988166667,97.90433987464147,15.53968253968254,0.7416477613412699,3.9047619047619047
Quảng Ninh,Trung du và miền núi phía Bắc,21,1,322.9166666666667,27.760740479166664,1141.3941170083667,15.376984126984128,1.3219400228174603,2.761904761904762
Cà Mau,Đồng bằng sông Cửu Long,25,6,310.6666666666667,16.046677966666667,271.8303118230352,12.426666666666668,0.6418671186666667,2.76
Gia Lai,Tây Nguyên,32,4,287.98333333333335,14.479498616783333,359.2397233411164,8.999479166666667,0.45248433177447916,4.3125
Bình Phước,Đông Nam Bộ,7,2,262.5833333333333,11.884861333333335,71.76693716848976,37.51190476190476,1.6978373333333336,1.5714285714285714
Yên Bái,Trung du và miền núi phía Bắc,18,6,250.16666666666666,15.486426070750001,1218.3509041922225,13.898148148148147,0.8603570039305556,2.2222222222222223
Tây Ninh,Đông Nam Bộ,19,3,236.51666666666668,12.597465900083334,64.59775707012071,12.448245614035088,0.6630245210570176,5.052631578947368
Long An,Đồng bằng sông Cửu Long,23,3,207.5,9.218822166666667,47.98831357927783,9.021739130434783,0.40081835507246383,3.869565217391304
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,28,4,185.33333333333331,14.560274610833334,506.22852333416984,6.619047619047619,0.5200098075297619,2.857142857142857
Đồng Tháp,Đồng bằng sông Cửu Long,14,2,158.0,7.9181732445333335,127.57995954224144,11.285714285714286,0.5655838031809524,5.0
Lâm Đồng,Tây Nguyên,14,2,148.33333333333334,6.246382408333334,202.9191573604335,10.595238095238097,0.44617017202380954,4.714285714285714
Bà Rịa - Vũng Tàu,Đông Nam Bộ,15,5,140.75,9.316428986250001,76.81961558027754,9.383333333333333,0.6210952657500001,1.7333333333333334
Trà Vinh,Đồng bằng sông Cửu Long,11,1,121.0,6.560470192,138.6625301600547,11.0,0.5964063810909092,3.909090909090909
Sóc Trăng,Đồng bằng sông Cửu Long,12,2,107.08333333333333,5.025298908583333,176.52154867149713,8.92361111111111,0.4187749090486111,4.25
Nam Định,Đồng bằng sông Hồng,22,3,106.41666666666667,6.254104799583334,1055.5059050605512,4.837121212121212,0.28427749089015153,1.9090909090909092
Ninh Bình,Đồng bằng sông Hồng,10,1,80.0,5.0502919791666665,1030.4218464500368,8.0,0.5050291979166667,2.3
Sơn La,Trung du và miền núi phía Bắc,6,2,73.41666666666667,4.54240125,1132.3371113537805,12.236111111111112,0.757066875,2.1666666666666665
Hưng Yên,Đồng bằng sông Hồng,13,1,64.91666666666667,5.26979475,1111.657153234077,4.993589743589744,0.4053688269230769,2.1538461538461537
Thái Nguyên,Trung du và miền núi phía Bắc,14,2,64.0,4.253771554166667,1189.2890724793444,4.571428571428571,0.3038408252976191,1.7142857142857142
Hà Nam,Đồng bằng sông Hồng,6,2,59.666666666666664,2.419758125,1072.858238405452,9.944444444444445,0.40329302083333335,2.3333333333333335
Bắc Ninh,Đồng bằng sông Hồng,14,1,57.416666666666664,3.55957715,1135.9068608480254,4.101190476190476,0.2542555107142857,2.2142857142857144
Hậu Giang,Đồng bằng sông Cửu Long,3,2,56.333333333333336,2.662741333333334,161.88168925232154,18.77777777777778,0.8875804444444446,2.0
Hải Dương,Đồng bằng sông Hồng,11,2,55.83333333333333,3.351977479166667,1118.346128011856,5.075757575757575,0.30472522537878793,2.1818181818181817
Lạng Sơn,Trung du và miền núi phía Bắc,10,2,48.791666666666664,3.0198439583333334,1210.757165965653,4.879166666666666,0.30198439583333336,2.1
Tuyên Quang,Trung du và miền núi phía Bắc,8,2,48.166666666666664,3.635289666666667,1256.2602977744043,6.020833333333333,0.45441120833333337,3.75
Bạc Liêu,Đồng bằng sông Cửu Long,4,3,45.666666666666664,3.102454,198.39143508006438,11.416666666666666,0.7756135,2.25
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,7,2,39.5,2.71600325,813.2335788467128,5.642857142857143,0.3880004642857143,2.857142857142857
Vĩnh Phúc,Đồng bằng sông Hồng,13,1,34.833333333333336,2.2982400625,1168.2282117544926,2.6794871794871797,0.1767876971153846,1.4615384615384615
Hà Giang,Trung du và miền núi phía Bắc,7,1,29.25,2.1765535833333334,1326.3563645317004,4.178571428571429,0.3109362261904762,2.0
Lào Cai,Trung du và miền núi phía Bắc,5,1,27.166666666666668,1.631410375,1271.2223031876406,5.433333333333334,0.326282075,2.4
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,3,2,10.333333333333334,1.0132683541666667,375.7744706196559,3.4444444444444446,0.33775611805555555,3.0
Điện Biên,Trung du và miền núi phía Bắc,2,1,5.833333333333334,0.5906513333333334,1239.6727514047557,2.916666666666667,0.2953256666666667,2.0
Bắc Kạn,Trung du và miền núi phía Bắc,5,1,4.666666666666667,0.29542700000000005,1265.0944901772739,0.9333333333333333,0.05908540000000001,1.0
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,2,1,3.75,0.4698819125,278.36138445937377,1.875,0.23494095625,1.0
Kon Tum,Tây Nguyên,3,1,3.25,0.39013380350000004,438.14706676266934,1.0833333333333333,0.1300446011666667,1.3333333333333333
